Responses,contexts,faithfulness Score
27%,"?????? ?????? ????????? ?????? ???????? ???? ??? 27% ?? ??? ????? ?????? ???? ????? ??????? ??? ?????? ??????? ??????? ?? ??? ??? ??? 64 ????? ????. ????? ??????? ????????? ?? ?????? ??? 6 ? 10 ?????? ???? ??? ??????? ??????? ??? ????????? ???????? ???? ??????? ??????? ?? ???? ???????? ???????. ????? ??? ??????? ??????? (1410 - 1415 ?? / 1990 - 1995?) ??????? ??????? ???????? ???????? ?? ???????? ??? ???? ??????? ???????? ?????? ?????? ???? ??? ????????? ??????? ?? ??????? ???????.[48]
 ?? ????? ?????? ??????? ?????? ?????? ??????? ???????? ?? 1986?? ????? ??? ?????????? ?????? ??????? ??????? ?? ???????. ??????? ????? ??? ?????? 108 ????? ????? ???? ????? ??????? ??????? ?????? ?? ???????? ???? 56 ????? ????? ?62 ????? ????? ??? 38 ????? ?? ????? ?????? ?24 ????? ?? ?????? ??????? ????? ?????? 8% ?? ????? ???????. ?????? ?????? 16 ????? ????? ???? ?????? ???? ??????? ????????? ?? 80 ??? ??????? ????? ????? ???? 4% ?? ????? ???????? ??? ???? ?????? ??? ????? ??? ??????? ?????? ????? ??? ??????? ??????? ?????? ???? ???????? ?? ?????? ?? ??????? ?????????. ???? ????? ????? ??????? ?? ?????? ????? ????? ????? ??? ?????? ??? ???? ??? ????? ?????? ???????? ??? ???? ????? ?????? ?? ?????? ?????? ????? ??? ?????? ????? ?????? ????? ??????? ?? ?????? ????? ????? ???? ??? ?????. ????? ?????? ??????? ???????? ?????????? ?????? ???????? ????????? ??? ????? ??? ??? 2250 ????? ?? ???????? ???????? ???? 500 ??? ?? ?????? ?????? ????????? ????? ??????? ?? ???????? ???????? ??????????? ?????",0
????? ??????? ???????? ??????? ????????? ??????? ?????? ?????? ???????? ??????? ?????????,"??? ????????.
 ?? ??? 2002 ???? ?????? ??????? ?????? ?????? ??????? ???????? ?? ?????? ?????? ??????? ??????? ???? ????? ??????? ??????? ?? ??????? ??????? ????????? ????? ?? ???? ?? ???? ???????? ?? ??? ?????? ?? ??????? ???? ??? ???? ????? ??????? ???????? ?????? ???????? ???????? ???? ??? ??????? ??????? ???????? ??????? ?????? ??????? ???????? ?????? ??? ??????? ??????? ???????? ?????? ??????? ??????? ????? ?????? ???? ???? ???? ????? ????? ?????.[49]
 ????? ??? ???????? ??????? ??????? ???? ??? ?????? ??? ???? ????? ????? ??????? ???????? ???????? ?? ???????. ????? ????? ??? ????? ??? ?????? ??????? ?????? ????? ??????? ?????? ???? ??? ????? ??? ????? ??????? ?????? ????? ??????? ?????? ???? ?? ??? ???? ???????? ?????? ????? ????? ??? ???? ???? ?????? ?????? ??? ???? ???? ????? ????????? ???????? ???????? ?? ???? ????? ??????? ??????? ???? ????? ??? ?????? ?????????. ????? ??? ???????? ???? ???????? ??????? ????????? ?? ?????? ??????? ?? ??????? ??????? ??????? ?????????. ???? ????? ????????? ???? ?????? ?????? ??????? ??????? ????? ???? ????? ????? ????? ????? ?????? ?? ???? ????? ????? ?? ????? ?????? ???? ????? ????? ?? ???? ???????.[50]
 ??? ????? ?? ???? ???????? ??????? ??????? ??? ???? ?? ???? ?????? ??????? ???? ?????? ???? ?????? ???? ????? ?????? ??????? ??? ????? ?????? ????? ??? ?? ??? ??? ???????? ??? ???? ?????? ??? ????? (?????) ?????? ?? ???????? ????????. ?????? ???? ????? ????? ??????? ?????????? ????? ??????? ??????? ????? ??????? ??????????? ????????",100
?????? ????," ?? ??????? ??????? ??? ????? ????? ?? ????.[47]
 ?? ???? ??????? ???????? ?? ???????? ?????? ?????? ?? ???? ??? ?? ?????????? ???????? ???? ??????? ???????? ??????????? ???????? ??????? ??????? ?????? ???????? ?? ???????. ??? ??????? ???????? ??????? ?? ???? ??????? ??? ???? ????? ?????? ?????? ????? ???????? ????????? ???????? ???????? ???? ??? ??????? ??????????? ?????? ????? ?? ??????? ??????? ????????? ???????? ?????? ??? ??? ?????? ???? ???????? ?? ????? ???? ???? ?? ???? ?????? ???????? ??? ?????? ???? ??????? ????????? ?????? ??????? ??????? ??????? ???? ??????? ??????.[51]
 ??? ??????? ??????? ???????? ??????????? ?????? ????? ?????? ??????? ???????? ?? ????? ?????? ?? ???????? ??????? ?????? ????? ?? ???? ???? ?? ???? ?????? ?????? ?????? ?? ?????? ???? ????? ??????? ???????? ??????????? ?????? ????? ????? ?????? ??????? ?? ???????? ????? ???? ?????? ????? ?????? ???????? ????? ??? ????? ???? ???????? ?????? ????? ??????? ??????? ??????? ?????????? ??????? ????? ???? ?????? ???? ??? ??????? ??????? ???? ??????? ??????? ???????????.[52]
?? ???? ??? ??????? ????? ?????? ?? ?????? ?????? ??? ???? ?????? ?????? ?? ?????? ??????? (??????) ????????? ?????? ??????[53][54] ??????? ?????? ?? ?????? ????? ??????? ?????? ??? ????????[55] ???? ?????? ?? ?????? ??????? ??????? ??????? ????????[56] ?????? ???? ????? ??????? ??????? ??? ????? ?? ???? ?? ??????? ????? ????? ?? ??????? ??????????? ?? ???? ?????? ?????? ??????? ???????? ????? ??? ??? ??? ?????? ?????? ?????? ?????? ?",0
???? ????????? ??? ???? ???? ?? ???? ??????? ???????? ????? ?? ???????,"????? ????? ????? ????? ????? ?? ???? ?? ??????? ?????? ????????? ?????? ?????? ?????? ?? ?????? ???? ?? ??????? ???? ?? ????? ???????? ??????? ??? ?????? ?????? ?????? ?? ???? ??????? ??? ??? ???? ??????? ???????.[57]
 ???? ????? ??????? ?? ??? ???????? ???????? ?? ???????? ????? ?????????? ??? ?? ????? ?????? ?????? ??? ?? ????? 75% ?? ??????? ???????? ??? ??????? ????????? ?? ???????.[58] ???? ?? ???? ????? ?????? ???? ??????? ????? ?????? ??? ?? ???? ????? ??????? ?? ??? ????? ???????? ???? ?????? ?? ???????? ?? ???? ?????? ??? ???? ??????? ??????? ????????? ????????? ???????? ?????? ?????? ?????? ???????? ???????? ??????? ???? ?????? ?? ???????? ????????? ???????? ????????. ?? ??????? ??????? ????? ?????? ?? ??????? ??????? ????? ??????? ??????? ??????? ??????? ??????? ?????? ?????????? ???????? ??? ????? ?????????? ?????? ???????? ??????? ????? ?? ???? ??????? ??????? ?? ???? ????? ????? ????? ??????. ??? ?? ???? ????? ???????? ????? ????? ????? ?????? ????? ?????? ???? ????? ?????? ???? ?????.[59]
 ?????? ?????? ?????? ?????? ???????? ???? ???? ?? ????? ?????? ?? ??? ?? ??? ???? ???? ??? ???????? ???????? ?????????? ??????????? ?????? ????? ?????? ???? ??? ????? ???????? ???????? ?? ???? ??????? ???????? ????????. ??? ????? ??? ???????? ??????? ?? ???? ????? ???????? ??? ???? ??? ??????? ??????? ?? ????? ??? ??????? ???????? ??? ????? ?? ???? ?????????[59] ??? ???? ??????? ?????? ???????? ??? ?????? ?? ?????? ????? ?? ??? 2011 ??? 665 ????? ????? ?????? ??? ??? ???????",100
21%,"?? ??? ????? ??????? ??????? ???? ????? ??? 497 ????? ????.[60]
 ????? ?????? ?????? ??????? ??????? ?????? (????? ??????? ?????) ?????? ??????? ?? ???????? ??? ???? ?????? ??? ??????? ?? ????? ??????? ?????? ????? ????????? ???????? ?????? ?????? ?? ?????? ??? ????? ?? ??????? ????? ???? ???????? ??? ?? ??? ??????? ???? ????? ???? ???? ??????? ?????????? ??????????? ?? ???????? ???. ???? ??????? ????? ??????? ????????? ?? ???? ????? ???????? ???? ???? ?????? ?????????? ?????????? ???? ??? ?????? ?? ????? ????? ????? ????????. ????? ????? ??????? ?????? ???? ?? ????? ??????? ???????? ??? ???? ????? ???? ??????? ??? 21% ?? ?????? ??????? ?? ???????. ???? ???? ?? 100 ??? ?????? ????? ???? ??????? ?????? ???? ?? 3.9 ????? ???? ??????? ????? ?????? 4.2 ????? ????. ??? ???? ???? ?? 600 ???? ????? ???????? ?????????.[61] ?? ??? 2013 ???? ????? ??????? 14 ????? ????? ?????? ?? ??? ?? ??? 2024 ??? 30 ???????.[62] ???? ????? ??????? ?????? ??? ????? ????? ??????? ?????? ??? ??? ??? ??????? ???????? ??????? ??????? ???????? ?????? ???????? ?? ??????? ??? ????? ????? ????? ????? ???????? ?????? ?? ?????? ???? ???? ?? ????? ??? ?????? ?????? ????? ??????? ???? ??????.[61]
 ??? ???? ??????? ??? ???????? ???? ??????? ??????? ???????? ?? ???? ????? ?????? «??????? ???????» ?? ????? 2002?? ????? ???? ??????? ??? ????? ?????? ?? ???????? ???? ?? ?????? ??????? ???????? ????? ???? ??? ???? ????? ???????? ?????????? ???? ??????? ????? ??? 10 ???? ???? ????? ??????? ??? ????? ??? ??????? ???????",0
151 ???,"? ???????? ??????? ?? ??????? ??? ?????? ???? ?? ????? 2016? ???? ?????? ??????? ?????? ??????? ???????? ???????? ??????? ???????? ???????? ??????? ??????????? ????????? ???? ??????? ??????? ?????? ???????? ????????? ??? ????? ?????? ??????? ???? 13.5 ????? ???? (3.6 ????? ?????).[63]
 ?? ??? ?? ??????? ?????? ??? ?????? ??????? ????? ????????? ???????? ???????? ???? ???? ???? ???? ?? ?????? ?????? ??? ???????? ?????????? ?????????? ????????? ????????? ????????? ???????? ?????? ?? ??????? ??????????? ??? ??? ??? ??????? ???????? ???????? ?? ??????? ????? 2018?? 151 ??? ????? ???? ??????? ??????? ??? ????? ??????? ????? ???? 134 ????? ????.[64]
 ????? ????? ???? ????? ???? ??? ????? ??????? ???????? ?? ????????? ??? ??? ?? ??? 2008? ????? ????? ????? ??????? ?????? ???????? ???????? (????????) ?? ????? ???? ???? ???? ?????? ????? ???? ??? ???? ?? ???????? ???? ??? ????? ????? ?????? ???????.[65] ??? ???? ????? ???? 153 ????? ????? ??????? ??? ??? ????? ?? ?????? ????????? ????? ????? ?? ??? ?? ?????? ?????? ?? ??? ???? ?????? ????? ???? ?????? 13 ?? ????? ?????? ?????????.[66] ????? ???? ????????? ?????? ???????? ??? ?????? ?? ????? ?????? ????? ?? ?????? ????? ??? ??? ?? ??????? ?????? ????? ??? ?? ??????? ???? ????? ???? ??? ????? ???? ??? ?????? ????? ?? ?????? ??????? ???? ???? ?????? ????? ?? ???? ???????? ??? ???? ???? ????? ??????? ?? ??????? ??????? ????? ??? ?? ??????? ?????????? ?????? ????? ??? ?????? ?? ??? «???? ???»[67] ???? ?????? ??? ????? ???? ?? ???? ???? ???",0
????????,"???? ????? ???? ????? ????? ?????? 15 ????? ?? ??????? ??????? ?????? ??????? ??????? ?? ?????? ???????? ??????? ?????. ??? ??? ???? ?????? ??? ?????? ????? ?? ???? ??????? ?? ?? ???? ???????? ??????? ?? ??? ????? ???????? ??????? ??????? ???? ????? ?????? ??? ????? ?????.[67] ??????? ??????? ??? ??????? ??? ????? ??? ???? ??? ?????? ???? ????? ????? ??? ??? ???? ??? ???? ??????? ?? ???? ????? ???? ??? ????? ?????? ??? ??????? ?? ???? ???? ???? ?????? ?????? ??? ?????? ??????? ?? ?? ??? ??????? ???????? ?? ???? ????? ????? ??? ???? ???? ?????.[67] ????? ????? ??????? ??? ?? ????? ????? ???? ??? ????? ??????? ????????? ?????? ??? ?????? ??? ????? ??????.[68]
 ???? ??????? ????? ?????? ???????? ??????? ?????? ??????? ???? ?????? ?????? ??????. ????? ??????? ?? ??? ????? ?????? ?? ?? ??????? ??? ?????? ??? ???????? ??? ???????? ????? ????? ??????? ???? ??? ??????? ???????? ??????? ????????. ?????? ?? ?????? ???? ??? ??? ??? ????? ??????? ??????? ???? ???? ??? ????? ?????? ???????? ??? ??? ????? ?? ??????? ??? ???? ?????? ?????? ???????? ???? ???? ???? ???? ????? ??? ???? ??????? ???????? ??? ??? ????? ?????? ?? ??????? ??????? ??????? ??? ?? ???? ??? ??????? ????? ????? ?????? ????. ??? ???? ????? ??? ?????? ???? ??? ???? ??? ?? ??????? ?????? ???? ??????? ????????? ????? ????? ??????? ????? ???? ??? ??? ????? ???? ????????? ???? ???????? ???? ????? ???? ???? ?????? ?????? ?????????? ?????? ????????? ???? ?????? ???? ???????? ???? ?????? ??? ?? ????? ???? ?????? ??????? ????? ??",0
2014,"?????? ???????.[69] ?? ??? 2010 ?? ?????? ???? ?? ?????? ?? ??????? ????????? ????? ??? ????? ?????? ??????? ??????? ????????.[65]
 ??? ??? ????????? ??? ????? ??? ???? ?????? ?? ??????? ?????????? ??? ???? ??? ???????? ??? ??? ???? ???? ???? ??????? ?? ??????? ???????? ?????? ???????? ??? ??? ???? ???? ????? ???? ???????? ???? ?????? ???? ????????? ???? ????? ???? ???????? ???? ????. ??? ??? ??????? ??? ?? ???????? ???? ?????? ??????? ?? ?????? ???????? ???? ???????? ?? ?????? ?? ???? ??????? ???? ??? ???? ??? ???? ???????? ????? ?????? ????? ?????? ????? ?????? ????? ?????????? ????? ??????? ???. ??? ??? ??????? ??? ?? ??????? ????????? ????????. ?? ???? ??????? ????????? ??????? ?? ???????? ???? ???????? ????? ????? ?? ????? ????? ??????? ????? ????? ????? ???????? ????? ??????? ????? ????? ????? ????? ???????? ????? ??? ?????. ?? ??????? ??????? ?? ??????? ??? ??????? ???? ?????? ???? ????? ???? ?????. ??? ???? ??? ???? ??????? ??? ?? ??????? ????????? ???? ???? ???????? ????? ????? ???? ????? ?? ?????? ?????? ???? ??? ?????? ??? ??? ??? ???????? ??? ??????? ???? ??????? ???? ????????? ???? ????????. ?? ???? ????? ??????? ???????? ??? ?? ???? ???? ?? ????? ?? ???? ?????? ???? ?? ????? ??? ???? ????? ??????? ?? ???? ???????? ???? ?? ?????? ??? ?????? ?? ???? ?????.[70] ?? ????? ?????? ?? 2014 ?? ??? ???? ?????? ??????? ??????? ?????? ???????? ??????? ????? ???? ?????.[65]
 ????? ??????? ??? ?????? ??? ?? ????? ?? ???? ????? ??? ???????? ?? ???????? ?????? ?????? ??????? ??",0
???? ????? ?????," ??? ??? ?????? ?????? ?? ???????? ??????? ??????? ???? ???? ??????? ??? ???? ???? ???? ??? ??? ?????? ?? ???? ????? ??????? ?????? ??????? ??????? ????? ????? «??? ???» ?? ????? 5,431 ????? ?????? ???????? ??????.[71] ???? ????? ???????? ??? 2015 ?????? ???? ?????? ?? ????? ???? ???????? ?????? ??????? ?? ????? ??? ???????? ????? ??? ????? ????? ?????? ???????.[72]
 ??? ?????? ?? ?????? ??????? ????? ???? ???? ?? ????? ???? ????? ???? ???? ???? ???? ????? ??????? ?? ??????. ???? ??????? ????? ?????? ????? ????? ?????? ??????? ??????.[73] ????? ?????? ??? ??? ????? ???: ???? ?????? ??? ???????? ??? ?????? ??? ?????? ??? ??? ????? ????? ??????? ??? ?????? ??? ????????. ?? ????? ?????? ?? ??? ????? ???????? ???? ????? ?????? ??????? ??? 2018?.[74]
 ????? ????????? ??? ????? ????? ???? ???????? ?????????? ???????? ???? ????? ??? ??????? ??? ????? ????? ??????.[75]
 ??? ????? ????? ????? ????? ???? ?? 50 ????? ?????? ??? ??????? ???? ??????? ??? ????? ????? ??? ?????? ???? ??????? ??? ?? ??????? ??????? ??? ????? ?? ????? ??????? ??????? ????????.[76]
 ????? ????? ???? ??«??????? ????? ??????»? ???? ??? ????? ?????? ???? ?? ????? ???????? ???? ??? ????????? ??????? ????? ??? ????? ??????? ??????? ???????? ??? ??????? ?????? ???????.[77]
 ????? ?????? ????? ????? ???? ??? ??????? ?????? ?????? ??? ???? ?? 300 ?? ??????? ????????? ??????????? ????? ???????? ?? ??????? 30 ????? ????? ?????? ????????? ?????? ??? ??????? ????????? ??? ???? ???????? ????? 6 ????? ?????????.[78]
 
 
 
 ",100
???? ??? ??????? 221 ????????? ??? ?????????? ???????????????? ?????? 900 ???????? ????????? ??? ???????????? ???? ?????? 45 ??????????.,"
 
 ???? ?????? ?? ??????? ?? ???????? ?????? ?????? ?????? ???? ????? ??? ???? ????? ????? ???? ??? ????? ????? ??? ??????? ??????? ???????? ?????????? ????????? ????????? ??????? ?????? ??? ????? ???????? ???????? ???????? ????? ?? 3700 ???? ????? ??????? ????? ??? ??? ???????? ????? ??? ????? ????? 221 ?????? ??? ??????? ????????? ????? 900 ?????? ???????? ??? ???????? ???? ???? 45 ??????.[104] ??? ????? ???? ??????? ?? ???? ??????? ????????? ??? ???? ??????? ???????? ???????? ???????[105] ???? ??? ????? ??? ???? ?? 200 ???? ?? ???????? ???????? ?????????? ?????????.[106]
 ????? ??????? ???????? ??? ??? ????? ??? ????? ?? ????????? ??????? ??????? ????? ??? ?????? ?????? ???? ???? ?? ????? ?????? ??????? ????? ????????? ???? ???? ??? ????? ?????? ??? ???????? ???? ????? ?? ???? ??????? ??????? ???????? ?? ??????? ??????? ??????? ????????? ????? ????? ?????? ?? ???? ?????? ??????? ????????? ?????? ???????? ?????? ????????? ??????? ???? ????? ??????? ??????? ????????.[35] ??? ???? ???? ?? 6300 ???? ????? ?????? ?? ??????.[37]
 ????? ????? ????? ?????? ???????? ???????? ??? ???? ??? ??????? ??????? ?? ????? ?????? ????? ?? ?????? ???????? ?????? ?????? ???????? ??? ?? ?????? ????? ??? ?????? ???? ???? ???? ?????? ?????? ????? ??????? ?? ???????? ??????? ?????????. ??? ??? ?????? ????? ?????? ?? ????? ???????? ???? ???? ??????? ????? ??? ??? ??? ????? ?? ???????? ???????? ???? ?????? ?????? ??? ??? ??????? ???????. ?????? ??????? ??????? ?????? ?? ??????? ??????.[107]
 ??? ???",100
45,"???? ?????? ?? ?????????? ?????? ???????? ????? ???? ???? ???? ???????? ?????? ???????? ???? ????? ?? ??? ?????? ???? ????? ?????? ?? ??? ????? ?? ??? ????? ???? ?? 45 ???????? ?????? ????? ?? ???? ????? ???????. ?????? ?? ??? ??? 2014 ??? ???? ?????????? ??????? ????? ???????? ?????? 10 ??????? ????? ??? ???? ??? ??????? ???? ?? 10 ?????? ????? ??? ???? ???? ?? 5000 ???? ??? ????? ?????????? ????? ????? ??????? ????? ?????????? ?????????? ???????? ?????????.[108]
 ????? ?????????? ????? ????? ?? ??????? ????????? ??? ???? ??? ?????????? ???? ???? ??? ???? ????? ?????? ??? ?? ?? ???? ?? ?????? ????????? ???? ????? ?????? ????? ???? ???? ????? ????????? ???????? ?? ??? ???????? ??????? ?????? ????? ????? ??????? ?? ??????? ???????? ????????? ?????? ??? ????????? ?? ???? ????? ??????? ???? ???? ??????? ????????[109] ???????? ??? ??? ?? ?????????? ??? ??? ???? ??????? ????? ?? ??????? ??????? ???? ??????? ?? ????? ??????? ????? ?? ??????? ????????? ?????? ?? ?????? ??????? ?????? ?? ??? ?????? ??????? ?????? ?? ?????? ??????? ??? ??? ??????? ?? ???????? ??????? ??????? ?????? ?????? ?? ?????????? ???? ???? ??? ???????? ??????? ???????? ???????? ?? ???????? ??? ?? ?? ????? ???? ??? ????? ?????? ?????? ????? ?? ?????? ?????? ???.[110]
 ????? ?????? ?????? ??????? ??????? ?????? (????? ??????? ?????) ?? ????? 2019 ?????? ????? ????????? ??? ?????? ????? ??? ??????? ??? ??? ????? 2018? ?????? ???? ??? ???? ??????? ????? 11 ????? ???? ???? ????? ??????? ?????? ?????? ?? ??????? ?????",0
??? ????????,"?? ????? ??????? ?????? ???? ????? ?????? ?????? ??????? ????????? ????? ??? ???????: ???? ??????? ???????? ????? ??? ?????? ????? ??? ?????? ????? ??? ??????? ????? ??????? ????? ???? ????? ????? ??????? ????? ??????? ????? ???????? ????? ????? ????? ?????.[111]
 ??? ????????? ?????? ???????? ???????? ????????? ??????? ???? ?????????? ???? ?????? ??????????? ??? ????? ?? ????? ??? ?? ??????? ?????? ????? ???? ??????? ????? ???? ?????? ???? ??????????? ??? ???? «????? ???????» ??? ???? ??? ?????? ???? ?????? ???? ??? ??? ??????? ?????? ??????? ?? ???? ??????? ?? ?? ???? ??????? ????? ??? ????? ??????? ???? ?????? ??????? ?????? ????? ???? «????? ???????» ?? ???? ?????? ???? ?? ????? ?? ????? ??????? ???? ????????? ????? ??? ??????? ?? ???? ??????? ???? ????? ????????? ??? «????? ???????» ??? ????? ???? ????? ??????? ?? ??????? ???????? ???????? ????? ???????? ????? «????? ???????» ???? ???? ???? ???? ?????? ?? ??? ?? ??????? ??????????.[112]
 ???? ?????
 ??? 20 ????? 2024 ???? ?????? ???????? ??????? ?? ???? ""??? ????????"" ???? ??? ?????? ?????? ?????? ??????? ?? ??????? ???????? ?????????? ???????? ???????? ???????? ???????? ???????? ???????? ?? ????????? ??? ???? ?????? ????? ?????? ?????? ?????? ???????? ????? ?????? ?? ??????? ?????? ??? ???? ?? ??????? ????????.[113]
 ??????? ??????? ?? ???????? ????? ??????? ??? ????? ?? ??? ???????? ???????? ??????? ????????? ?????? ????????? ??????????? ?????? ????? (?????????)? ?????? ????????? ?????? ????????? ???????? ????????? ???",100
"(1,320)","?????? ??????? ????????. ?????? ??? ???? ??????? ??? ?????? ???? ????? ??????? ??????? ??????? ?????? ??????? ??????? ???????? ??????? ???????? ?? ??? ??????? ???????? ??????? ??? ???? ??? ?????? ???? ???.[114]
 ??? ??? ??????? ???????? ?????????? ?? ????? ???????? ????? 1,320 ???? ?????? ???????? ???? ????? ?????? ??? ????? ????? «???????» ???????? ?? ??? 2014? ?? ???? 2.1% ?? ???????? ????????? ????? ??? ?????? ???? ???? ???????? ???? ????? ????? ?? ???? ??????? ??????????.[115]
 ?? ??? 2013 ????? ???? ???? ????? ???? ??????? ?????????? ?? ??? ????? 70%? ????? ???? ?????? ??? ???? ??? ????? ????? 357 ???? ?????? ??? ??????? ?? ??? ??? ??????? ???????? ?????????? ??? ???????? ???????? ???????? ??? 11,626 ???? ?? ??? 2018 ?????? ?????? 780% ???? ??? ????? ????? ?? ??? 2014. ?? ??? ????? ?? ??? 2014 ??? ?????? ??????? ?? ???????? 1,258 ????? ?? ????? 1100 ???? ?? ??? ???? ???? ??????? ????? ?????.[115]
 ?? ?????? ??????? ???????? ?? 27 ?????? 2019? ??????? ???? ?????? ?????? ??? ????? ??? ????? ?? ??????? ?? ?????? ??? ???? ?????? ????? ????????? ?? ??? ?????? ??? ??? ??????? ?????? ?? ?????? ???????? ?? ?? ???? ???????? ?????????? ????????? ??? ????????? ?????? ???? 49 ????? ???? ???? ???????? ??????? ???? ?????? ????? ???? ???????? 440 ????? ????? ??????? ????? ????????.
 ???? ????? ???????? ???????? ???????? ???? ?????? ?????? ?? ???????? ???? ????? ???? ??? ???? ??? ????? ????? ??? ?? ???????? ???? ????? ???? ??? ????? ???? ???????? ?????? ??????? ???????? ??? ???? ???????",0
?????? ????? ?? ??????,"? ??????? ????? ?????? ???????? ???? ????? ??? ?? ????? ???????? ???? ????? ??????? ?? ????? ????? ???????? ??? ?? ???? ??????? ??????? ????? ?????? ????? ?? ?????? ??????. ??? ?? ???? ?????? ??? ???????? ?? ?????? ??? ?????? ???? ???? ??? ??????.[10][116] ??? 19 ?????? 2023 ?? ????? ???? ????? ????????? ???? ??? ""?????? ????????""? ???? ????? ??????? ??????? ??? ?????????? ?? ???? ????? ??? ??????? ???? ?? ??????? ???? ??????? ???????? ???? ?????? ?????? ????? ?? 30 ???? ?????? ????? ???? ?????? ??????? ?????? ??? ????? ????? ?????????? ?? ????? ?????? ????? ?? ??????? ???? ??????? ?? ??????? ?? ?????.[117]
 ???? 49 ????? ????? ??? ?????? ??? ???????? ????????? ?? ??? ?????? ??? ??? ??????? ?????? ?? ??????.[118]
 ???? ???? ??? ??????? ????? ??? ?????? ??? ???????? ?? ???? ???????? ?????????? ????????.
    ",100
1900,"??? ???? ?????? ?? ?? ???? ?????? ?? ???? ??????? ??????? (???????? ?????????: ???? ????? ????? ????????? ????????: Hicaz Demiryolu) ?? ??? ???? ???? (???? 1050 ???)? ??? ??? ???? ???????? ????????[3] ????? ?? ???? ?? ???? ????? ??????? ???????? ??? ?????? ?????? ???? ???? ?????? ???????? ???? ?????? ?????? ????????? ?????? ??????? ?????.[4] ??? ????? ?? ????? ??? 1900? ??? ???????? ??? 1908?? ?????? ??????? ??? ?? ?????? ???? ??? 1916? ???? ????? ???????? ??????? ?? ????? ??????? ???? ?????? ??????? ?????? ????? ?????? ????????? ??? ?????.[3]
 ???? ??? ??????? ???????? ??? ?????? ?????? ???????? ?? ??? 1900?? ????? ???? ???? ?????? ????? ???? ???? ?? ?????? ??? ???? ???????? ??????? ?????? ????? ???? ??? ?? ????? ???? ????? ???? ???? ???? ??? ????? ????? ???? ?? ???? ??? ??? ???????.[5]
 ??????? ????? ???? ???? 3.5 ?????? ???? ??????? ????? ???? ?? ???? ???????? ??????? ????? ?? ???? ??????? ????????? ?????? ??????? ????.[6]
???? ?????? ?? ???? ?? ??? ???? ?????? ??? 1900? ?? ????? ???????? ?? ????? ?? ?????? ?????? ?? ????? ??? ???? ???? ????? ?? ???? ??? ????? ???? ?????? ??? ??????? ???????? ??? ?????? ?????? ?? ?? ?? ????? ????? ????????? ??? ??????? ?? ???? ??? ??????? ??????? ?? ??? ???? ???? ??? ????? ?? ?????? ??????[7] ???? ???? ???? ?? ???? ???? ???????? ???? ????? ???? ???? ???? ????? ??? ??????.[8]
 ??? ???? ????? ?? ????? ?????? ?? ???? ???? ????? ??? ????? ?????? ??? ??? ?????? ??? ??????? ??? ????? ???? ???? ????? ??? ??????? ???? ????? ????? ???? ??? ????? ??",0
???? ?????? ???? ????.,"?? ?? ??????? ?????? ?? ???? ?? ???? ??????? ????.
??? ???? ?? ???? ????? ?? ????? ???? ????? ??? ????? ???? ????????? ???????? ??? ??? ?? ??????? ??????? ???? ????? ?????? ??? ????? ???? ?? ??? ?????? ??? ??? ??? ?? ?????? ???????? ?????? ????? ??? ???????? ????? ???? ?????? ??? ?? ???? ????? ?????? ??? ????? ???????? ???????.[9]
 ?????? ??? ???? ?????? ???? ??? ???? ???????? ??????? ??? ????? ???????? ?????? ?? ?????? ?????? ???????? ?????? ????? ???? ????? ???????? ?????? ???? ????? ???? ??????? ???????? ??? ????????? ??? ?? ????? ?????? ????????? ?? ???? ??????? ??????????? ??? ???? ???? ?????? ????? ?? ???? ?????????? ??? ????? ?? ??? ?????? ?????????? ???????? ?? ???? ????? ???? ?????? ?????? ???????? ???? ??????? ?? ??? ??????? ???????? ?????????? ??? ???? ???? ??? ???? ?? ??????? ???????? ???? ?????? ??????? ?????? ?? ??????????? ??? ??? 1917 ???? ????? ??? ?????? ????? ?????? ??? ??? ????? ???? ??? ????? ?? ???? ????????? ?????? ????? ???? ?? ??????.[10] ?????? ?? ????? ?????? ??? ????? ???? ??? ?????.[11]
 ???? ?? ???? ?????? ?? ??????? ????????? ???? «?? ?????? ??????» ?? «?? ???? ?????? ???????»?[12] ????? ?? ?????? ???? ????? ???? ??????? ??? ??? ??? 1864? ?? ??? ??????? ??? ?????? ?????? ?????? ??? 1881? ??? ??? ???? ???? ?????? ??? ???? ??? ????? ????? ???????.[13] ?????? ???? ??? ?????? ??????? ??? ?????? ?????? ?????? ?????? ?? ??? ???? ??????? ??? ????? ??????? ??? ?????? ?????? ?????? ????? ???? ??? 1900?. ?? ??? ?????? ??? ??????? ??? ?????? ?????? ?????? ",100
