Question,Responses,Generated Questions,Relevance Score
?? ?? ??? ????? ????? ??????? ?? ????? ?????????,????? ??????? ?? ?????? ???? ???? ?????? ???????? ?????? ????? ????? ?????? ?????????? ??????? ?? ????? ???? ?? ??????? ?????? ????????? ???????.,?? ?? ???? ????? ??????? ?? ????? ?????????,92.68726429
?? ?? ??????? ???????? ?? ???????? ???????? ??????? ???????,??????? ?????? ???? ????? ????? ???????? ???????? ???? ?? ??? ?? ????? ?? ?????? ??? ??????. ?? ?? ??? ???? ???? ?????????? ? ??? ?? ???? ????? ????? ?????? ??????? ??? ????? ?????? ?? ??????. ????? ??? ????? ??????? ???? ??? ?? ?????? ???????? ? ??? ?????? ?? ????? ????? ??? ????? ?????? ???????? ??? ?????? ???? ?? ??????.,?? ???? ???? ??? ????? ???????? ???????? ????? ?????? ????? ?????? ?? ?????? ??? ???????,78.94270637
?? ?? ???? ?????? ???? ????? ?????? ?????? ???? ?????,???? ?????? ???? ????? ?????? ?????? (PMTUD) ?? ???? ?????? ?? ?????? ?????? ?????? ???? ?????? ?? ??? ????? ?????? ??? ??? ???? ????. ??? ???????? ?????? ??? ???????? ?????? ?????? ?? ???? ?????? ???? ????? ??????.,?? ?? ???? ?????? ???? ????? ?????? ?????? (PMTUD)?,88.68642863
?? ?? ????? ???? ????? ??????? ?? ?????????? ???? ??????,????? ??????? ?????? ?????? ??? ?????? ?? ?????? ??????? ??????? ???? ?? ???? ?? ??????? ??????? ?? ?? ????? ??? ??? ??????.,?? ?? ????? ???? ????? ??????? ?????? ?????? ?? ????????,84.275784
?? ?? ????? ?????? ????????? ?????? ?? ???????? ?????? ???????,??? ????? ???? ???? ???????? ?????? ?? ????? ???? ??? ????? ??????? ????? ??????? ???????? ??????? ???? ????? ??????????.,??? ??? ????? ???? ???? ???????? ?????? ?? ??????,86.3383347
?? ?? ?????? ???????? ?????? ??????? ?? ?????? ??????? ?????? ?? ???????? ?????????,"????? ?????? ????? 4 ?? ???????? ???????? ??? ?????? ???????:
- ????? ??????
- ????????
- ?????
- ??? ?????
- ??? ????
- ????? ????????
- ?????? ??????
- ??? ????? (copied flag)",?? ?? ?????? ???? ????? ????? ?????? ????? 4 ?? ???????? ?????????,88.20633936
?? ?? ??? ???????? ?? ?????? ???????? ?????????,???? ???? ???????? ?????? ??????? ?????? ??????? ??? ???? ?? ??????? ?? ???? ??????? ? ???? ??? ??? ??? ????? ????? ?? ???????.,???? ??? ????? ?? ???? ???????? ?????? ??????? ?? ?????? ??????? ??? ???? ?? ??????? ?? ???? ???????? ???? ??? ??? ??? ????? ????? ?? ???????,54.43135744
?? ?? ????? ????? ????? ??????? ?? ????? ????????,"?????? ??????: 1480 + 1480 + 140 = 5120 ????
?????? ???????: 1480 - 5120 = 2160 ????
?????? 3: 1480 - 2160 = 680 ????
????? ????????: 5120 + 2160 + 680 = 1390 ????
??????? ????????: 1390-60 = 1020 ????",?? ?? ????? ???? ????????? ???????? ???????? ???????? ??? ????? ??? ?????? ??? ???? ???? ?????? ???? ??? ?? ???? ?? ??????? 1480 ????? ????? ?????? ?????? ??? ?????? 5120 ????? ??????? ??????? ??? ?????? 2160 ???? ??????? ??????? ??? ?????? 680 ????? ???????? ???????? ?? 60 ?????,67.37141199
?? ?? ??????? ???????? ??????? ?????? ?? ???????? ?????????,????? ??????? ???? ?????? ??? ????? ??? ?????? ???? ????? ??????,?? ??????? ???? ??? ?????? ??? ????? ??? ?????? ???? ????? ???????,60.54973546
?? ?? ??????? ??????? ???? ???? ?? ???? ?? ??????? ??????? ?? ??????? ?????? ?? ???????? ?????????,???? ??????? ???? ?????? ??????????,?? ?? ?????? ???? ?????? ???????????,71.85221967
?? ?? ??????? ???? ???? ?? ?????? ?? ???? ????? ?? ??????? ???? ???? ???? ??????? ?????? ??????? ???????,???????,?? ?? ????? ?????? ?????? ????? ??????? ??? ??? ??????,64.33854202
?? ?? ????? ??????? ?? ????? ??????? ?? ???? ????? ??????,????? ??????? ?? ????? ??????? ?? ??? ???? ???? ???????? ??????? ?????? ?????? ??? ?????? ? ???? ??? ????? ????? ????? ?? ???????? ??? ????? ???? ? ???? ?? ???? ??????? ??? ????? ???? ????? ???? ?????? ??? ??????.,?? ????? ??????? ?? ????? ????? ???????? ?? ????????,75.06254369
?? ?? ?????????? ???? ????? ????? ??? ???????? ??????????? ???? ???????,???????? ??? ??? ??? ??????,?? ?? ??????? ???? ??? ????? ?? ???????? ???? ???????? ?????? ??? ?????? ?? ?????,73.53633583
?? ?? ??????? ???????? ????? ?????? ?????????? ?? ???? ??? ?????????,????? ????? ??? ???? ?????? ???? ???? ????? ??????? ????? ?????? ?????? ???????? ??? ???? ?? ????? ????? ??? ????? ?????????? ????? ??? ????????? ?? ????? ????? ??????? ?? ??????? ??????? ?????? ????? ???? ???????? ???????.,?? ?? ??????? ???? ???? ????? ????? ??? ???? ??????? ????? ??????? ????? ????????? ????? ????? ??? ????? ????? ??? ????????? ?????? ????? ??????? ?????? ????? ???? ???????? ????????,74.30775499
?? ?? ??????? ???? ????? ????? ???? ???????? ????? ?? ??? ??????? ??? ??? ?? ????? ?????? ?????? ????? ??? ?????,???????,?? ?? ????? ?????? ?????? ????? ??????? ?? ????? ??? ??? ??????,69.86192257
?? ?? ??????????? ???? ?? ???? ??? ????? ????? ??????? ????? ????? ?? ????????,????? ????? ?????? VLAN? ?????? ???????? ?????? ???????? ????????,?? ?? ??? ???????? ?? ???????? ???????? ???????? ?? ????? ???????,64.59453308
??? ???? ?????? ????? ?????? ????? ??????,?? ???? ?? 30 ????? 2007.,??? ?? ?????,67.18281602
?? ?? ???????? ???? ???? ???? ??? ???? ?? ????? 2002 ?????? ?????? ?? ???????,?????? ??????? ???????? ?????? ??????,?? ?? ???????? ???? ????? ????? ?????? ?? ???? ????????,70.90204009
??? ?? ????? ??????? ???? 2 ??????? ????? ??????? ??????,?? ????? ??????? ?????? ?? ?????? ???????? ?? 7 ????? 2006.,??? ?? ????? ??????? ?????? ?? ?????? ?????????,74.85933755
??? ????? ?????????? ?? ???????? ?? ????? ?????? ??????,8 ?????? 2006,??? ?? ????? ???? Gears of War ????????,63.62109668
?? ?? ???? ????? ?? ?????? ????? ????????? ?? ?????? ??????,"??????? 3 ?? "" ???? ???.?? ""? ?????? ?? ??? ?? "" ??????? ??????? "" (???????????:class library)? ?????? ""Common Language Runtime"" (CLR).","?? ?? ??????? ?????? ?? ""??????? ???????"" ?????? ""Common Language Runtime"" (CLR) ?? ???? ??? .???",66.46873213
?? ?? ????????? ???????? ?????? ?????? ??????,???? ????? ?????? ????? ??? ?? ???? ????? ??????? ????? 800 ????????? ??? ????? ? ?????? ???? ?????? ???? 512 ???????? ? ?????? ?????? ?? ??? ???? DirectX 9.,?? ?? ??????? ????? ???? ??????? ?????? ??????,94.45322503
?? ?? ???? ?????? ????????? ???? ???? ??????? ?? ?????? ??? ???? ??????? ?????? ?? ????? ??????,???? ??? ????? ?????? ??????? ?? ????? Windows Vista ?? ????? ATI 9800 Pro. ??? ??? ?????? ??? ????? ??? ?????? ?????? ??????? ?? ???? ??? 5900? ?????? ATI 9500 ? ?????? GMA 950 ?? ???? ? ?????? VIA ? S3 Graphics.,?? ?? ??? ????? ?????? ???? ??????? ?? ????? Windows Vista? ??? ?? ???????? ???? ??? ??????? ????? ??? ????,84.38990536
?? ?? ?????? ???? ???? ????????? ?????? ?????? ????? ?? ?? ????,????? Windows Anytime,?? ?? ???? ??????? ??? ???? ????? ???? ??????? ??? ???? ????????? ????? ???,66.72684403
??? ????? ?????????? ?? ?????? ??? ?????? ??????,?? 11 ????? 2017,??? ?? ??????? ?? ??? ???????? 2030?,59.88122736
